year,value
1975,4428
1976,4695
1977,4835
1978,4884
1979,4950
1980,1980
1981,4637
1982,4404
1983,4384
1984,4613
1985,4605
1986,4616
1987,4776
1988,4998
1989,5085
1990,5038
1991,4993
1992,5094
1993,5186
1994,5263
1995,5324
1996,5518
1997,5589
1998,5563
1999,5700
2000,5589
2001,5778
2002,5820
2003,5886
2004,5994
2005,6007
2006,5929
2007,6016
2008,5823
2009,5404
2010,5594
2011,5545
2012,5236
2013,5359
2014,5414
2015,5262
2016,5169
2017,5121
2018,5277
2019,5144
2020,4576
